,TSLA_OPEN,TSLA_PREV_OPEN
709,45.608002,46.700001
710,45.608002,46.700001
711,47.153999,45.383999
712,48.452,45.417999
713,48.321999,46.580002
714,46.77,48.599998
715,46.868,48.529999
716,46.868,48.529999
717,46.868,48.529999
718,45.664001,46.27
719,46.150002,45.919998
720,46.683998,46.375999
721,47.66,45.299999
722,47.001999,46.889999
723,47.001999,46.889999
724,47.001999,46.889999
725,45.801998,47.209999
726,47.0,46.598
727,43.924,45.762001
728,43.127998,46.242001
729,43.987999,44.172001
730,43.987999,44.172001
731,43.987999,44.172001
732,45.366001,43.332001
733,45.172001,44.841999
734,44.166,45.523998
735,44.43,44.402
736,42.279999,44.560001
737,42.279999,44.560001
738,42.279999,44.560001
739,43.0,43.993999
740,42.816002,42.720001
741,43.118,43.147999
742,44.341999,42.737999
743,45.122002,43.799999
744,45.122002,43.799999
745,45.122002,43.799999
746,45.122002,43.799999
747,45.001999,45.830002
748,44.136002,44.816002
749,45.916,45.377998
750,45.490002,44.5
751,45.490002,44.5
752,45.490002,44.5
753,46.358002,45.439999
754,47.108002,46.0
755,49.419998,46.16
756,49.174,47.476002
757,49.040001,49.540001
758,49.040001,49.540001
759,49.040001,49.540001
760,48.562,49.391998
761,48.958,49.200001
762,48.698002,48.493999
763,49.32,49.0
764,48.124001,49.200001
765,48.124001,49.200001
766,48.124001,49.200001
767,48.245998,49.298
768,44.641998,48.0
769,45.740002,48.304001
770,48.512001,44.911999
771,48.425999,46.132
772,48.425999,46.132
773,48.425999,46.132
774,48.174,48.439999
775,48.938,48.599998
776,48.625999,48.299999
777,46.605999,48.658001
778,46.285999,46.372002
779,46.285999,46.372002
780,46.285999,46.372002
781,47.543999,46.321999
782,48.009998,45.959999
783,48.905998,47.174
784,48.948002,48.264
785,49.577999,49.056
786,49.577999,49.056
787,49.577999,49.056
788,51.391998,49.43
789,51.577999,49.580002
790,51.950001,51.540001
791,52.394001,51.478001
792,51.389999,52.5
793,51.389999,52.5
794,51.389999,52.5
795,50.700001,52.139999
796,51.116001,51.666
797,50.936001,50.863998
798,59.936001,50.900002
799,65.625999,59.674
800,65.625999,59.674
801,65.625999,59.674
802,65.542,59.543999
803,63.243999,65.508003
804,63.001999,63.998001
805,62.984001,62.599998
806,62.661999,62.619999
807,62.661999,62.619999
808,62.661999,62.619999
809,63.493999,63.264
810,63.444,62.959999
811,65.316002,63.924
812,67.108002,63.599998
813,67.428001,65.828003
814,67.428001,65.828003
815,67.428001,65.828003
816,69.017998,66.900002
817,69.986,68.790001
818,69.222,69.379997
819,69.870003,71.0
820,70.433998,69.222
821,70.433998,69.222
822,70.433998,69.222
823,69.998001,70.127998
824,71.903999,70.584
825,70.444,70.349998
826,70.966003,72.0
827,66.608002,70.902
